scale_group,scale,instance_idx,variant,policy_ablation,satellites,tasks,num_prefs,hv,igd,igd_norm,hv_gap_to_full_percent,seconds,seconds_per_pref,avg_scheduled,points,nd_points,reference_hv
Medium,s8_n400,0,w/o trajectory-level labels,final_pair_self_cross,8,400,50,0.19923936788460145,0.04766739100277843,0.176961265998429,11.290823824119574,4.971606969833374,0.09943213939666748,61.12,50,9,0.22522660859992377
Medium,s8_n400,0,w/o preference conditioning,final_pair_no_preference,8,400,50,0.16037291516370145,0.13071716486230392,0.4546447048031493,28.595692025401974,5.248647689819336,0.10497295379638671,65.0,50,1,0.22522660859992377
Medium,s8_n400,1,Full,final_pair_self_cross,8,400,50,0.22539399110842476,0.0010299286567488825,0.005056490192908931,0.0,5.3234381675720215,0.10646876335144043,63.7,50,17,0.22540470109891575
Medium,s8_n400,1,w/o exact-oracle teacher,final_pair_self_cross,8,400,50,0.15941103505872792,0.06386579317448365,0.3365943078791925,29.274496505080315,4.890379905700684,0.09780759811401367,51.12,50,8,0.22540470109891575
Medium,s8_n400,1,w/o trajectory-level labels,final_pair_self_cross,8,400,50,0.21054318638004793,0.021880573916526383,0.09525173060106928,6.58882016124064,5.381079196929932,0.10762158393859864,60.4,50,14,0.22540470109891575
Medium,s8_n400,1,w/o preference conditioning,final_pair_no_preference,8,400,50,0.14570664063253075,0.1513616801720587,0.5210961736909736,35.354691615341586,4.86437463760376,0.0972874927520752,57.0,50,1,0.22540470109891575
Medium,s8_n400,2,Full,final_pair_self_cross,8,400,50,0.23371124977243718,0.0,0.0,0.0,5.043243408203125,0.1008648681640625,65.7,50,20,0.23371124977243718
Medium,s8_n400,2,w/o exact-oracle teacher,final_pair_self_cross,8,400,50,0.16567969801981391,0.0890611747749144,0.36540171973075813,29.109232789976975,5.174743175506592,0.10349486351013183,58.08,50,8,0.23371124977243718
Medium,s8_n400,2,w/o trajectory-level labels,final_pair_self_cross,8,400,50,0.18407680915880542,0.10262958423725368,0.3762436702358959,21.237505965998825,5.1731767654418945,0.1034635353088379,59.92,50,12,0.23371124977243718
Medium,s8_n400,2,w/o preference conditioning,final_pair_no_preference,8,400,50,0.16849200618698107,0.08212161535561775,0.3484840485534847,27.90590681833227,5.327202081680298,0.10654404163360595,67.0,50,1,0.23371124977243718
Medium,s8_n400,3,Full,final_pair_self_cross,8,400,50,0.22045508650402143,0.0015791425619330203,0.003484982242616742,0.0,5.102792263031006,0.10205584526062011,62.06,50,21,0.22070974640680543
Medium,s8_n400,3,w/o exact-oracle teacher,final_pair_self_cross,8,400,50,0.1637509760423742,0.06799300545308568,0.27344950027514736,25.721389041578252,4.915433883666992,0.09830867767333984,53.52,50,7,0.22070974640680543
Medium,s8_n400,3,w/o trajectory-level labels,final_pair_self_cross,8,400,50,0.19322786250308224,0.05108288269245745,0.18162865798453887,12.350463050188013,5.181872844696045,0.1036374568939209,61.36,50,10,0.22070974640680543
Medium,s8_n400,3,w/o preference conditioning,final_pair_no_preference,8,400,50,0.1429969940974928,0.14015914106455804,0.4200849604789244,35.13554331399638,5.188243865966797,0.10376487731933594,61.0,50,1,0.22070974640680543
Medium,s8_n400,4,Full,final_pair_self_cross,8,400,50,0.22921978316901664,0.06894350140018973,0.09187393068229754,0.0,5.518533945083618,0.11037067890167236,64.14,50,15,0.23391626314616257
Medium,s8_n400,4,w/o exact-oracle teacher,final_pair_self_cross,8,400,50,0.16946616792681093,0.0986002967175323,0.30788418512071525,26.068262702327928,5.173113107681274,0.10346226215362549,53.98,50,9,0.23391626314616257
Medium,s8_n400,4,w/o trajectory-level labels,final_pair_self_cross,8,400,50,0.21565470974997072,0.032160098775861526,0.07783362840556325,5.917933099624141,5.5305845737457275,0.11061169147491455,63.06,50,14,0.23391626314616257
Medium,s8_n400,4,w/o preference conditioning,final_pair_no_preference,8,400,50,0.16739873374553926,0.15279662433066898,0.417530574277007,26.97020674602647,5.576953649520874,0.11153907299041749,65.0,50,1,0.23391626314616257
Medium,s8_n400,5,Full,final_pair_self_cross,8,400,50,0.2238018124452922,0.0,0.0,0.0,4.903094291687012,0.09806188583374023,58.78,50,14,0.2238018124452922
Medium,s8_n400,5,w/o exact-oracle teacher,final_pair_self_cross,8,400,50,0.1615698782363027,0.06812486588618236,0.31567412259045696,27.806715919336867,5.5773210525512695,0.11154642105102539,50.46,50,13,0.2238018124452922
Medium,s8_n400,5,w/o trajectory-level labels,final_pair_self_cross,8,400,50,0.18312937332007073,0.05411376259550218,0.1956942966920617,18.17341811526381,5.888973236083984,0.11777946472167969,54.82,50,10,0.2238018124452922
Medium,s8_n400,5,w/o preference conditioning,final_pair_no_preference,8,400,50,0.1503865919915271,0.1860513273546893,0.4869686815178497,32.80367556080954,5.667567729949951,0.11335135459899902,58.0,50,1,0.2238018124452922
Medium,s8_n400,6,Full,final_pair_self_cross,8,400,50,0.23189122139752014,0.0,0.0,0.0,5.665233373641968,0.11330466747283935,65.38,50,17,0.23189122139752014
Medium,s8_n400,6,w/o exact-oracle teacher,final_pair_self_cross,8,400,50,0.16467884826771811,0.08272369451851991,0.4393880847497326,28.984440516867622,5.039302587509155,0.10078605175018311,54.52,50,9,0.23189122139752014
Medium,s8_n400,6,w/o trajectory-level labels,final_pair_self_cross,8,400,50,0.19136701599306316,0.055367950702145126,0.28159764990798863,17.47552372195593,5.25020432472229,0.1050040864944458,60.0,50,7,0.23189122139752014
Medium,s8_n400,6,w/o preference conditioning,final_pair_no_preference,8,400,50,0.156036080157805,0.09933835669185795,0.4781585479759773,32.711519126323566,5.3336498737335205,0.1066729974746704,66.0,50,1,0.23189122139752014
