scale,instance_idx,pref_id,w1,w2,satellite_id,task_id,start,end,duration,priority,is_emergency,original_scheduled
s8_n400,9,1,0.75,0.25,3,221,1241.0,1266.0,25.0,8.027439422752416,False,False
s8_n400,9,1,0.75,0.25,3,220,1780.0,1802.0,22.0,9.69757233768817,False,False
s8_n400,9,1,0.75,0.25,3,308,2164.0,2179.0,15.0,8.662606363637611,True,False
s8_n400,9,1,0.75,0.25,3,354,2179.6664673805235,2204.6664673805235,25.0,8.303014223611447,True,False
s8_n400,9,1,0.75,0.25,7,9,355.812237739563,375.812237739563,20.0,6.838369365579364,False,True
s8_n400,9,1,0.75,0.25,1,2,959.0,982.0,23.0,9.923632132114937,False,False
s8_n400,9,1,0.75,0.25,1,32,986.5620862960816,1002.5620862960816,16.0,7.879202051515812,False,False
s8_n400,9,1,0.75,0.25,1,110,1465.0,1480.0,15.0,9.620954205335174,False,False
s8_n400,9,1,0.75,0.25,1,280,1488.9672954559326,1509.9672954559326,21.0,8.208674857726106,False,False
s8_n400,9,1,0.75,0.25,1,288,1735.0,1754.0,19.0,8.728568608102293,False,False
s8_n400,9,1,0.75,0.25,1,15,1754.834813117981,1775.834813117981,21.0,8.987271821297691,False,False
s8_n400,9,1,0.75,0.25,6,55,630.0732291412093,652.0732291412093,22.0,9.002806335202258,False,False
s8_n400,9,1,0.75,0.25,3,329,2300.0,2322.0,22.0,7.081954027418771,True,False
s8_n400,9,1,0.75,0.25,1,296,2199.0,2218.0,19.0,8.44915212411294,True,False
s8_n400,9,1,0.75,0.25,3,376,2573.0,2588.0,15.0,9.407089550788005,True,False
s8_n400,9,1,0.75,0.25,3,394,2643.0,2664.0,21.0,8.516290269199143,True,False
s8_n400,9,1,0.75,0.25,3,398,2671.6366868972777,2686.6366868972777,15.0,5.661338956999723,True,False
s8_n400,9,1,0.75,0.25,4,66,843.150386428833,879.150386428833,36.0,4.204260783859674,False,True
s8_n400,9,1,0.75,0.25,4,209,889.6062580108643,914.6062580108643,25.0,8.151074000023314,False,False
s8_n400,9,1,0.75,0.25,5,76,108.45498619079589,166.4549861907959,58.0,5.7551639012094435,False,True
s8_n400,9,1,0.75,0.25,6,190,1254.0,1277.0,23.0,8.219993301672014,False,False
s8_n400,9,1,0.75,0.25,7,147,1845.0,1862.0,17.0,9.025962909008253,False,False
s8_n400,9,1,0.75,0.25,7,183,1872.55287399292,1889.55287399292,17.0,7.349011005468564,False,False
s8_n400,9,1,0.75,0.25,0,326,2451.0,2466.0,15.0,8.693522248568346,True,False
s8_n400,9,1,0.75,0.25,5,13,493.0,512.0,19.0,6.313229943578222,False,False
s8_n400,9,1,0.75,0.25,0,336,3051.0,3070.0,19.0,8.189876573815905,True,False
s8_n400,9,1,0.75,0.25,7,103,1889.5634695887566,1915.5634695887566,26.0,8.41514394464674,False,False
s8_n400,9,1,0.75,0.25,5,199,965.0,993.0,28.0,8.19722379228924,False,False
s8_n400,9,1,0.75,0.25,5,52,1551.0,1580.0,29.0,8.619436500493208,False,False
s8_n400,9,1,0.75,0.25,5,341,2468.0,2491.0,23.0,8.00463245732983,True,False
s8_n400,9,1,0.75,0.25,1,265,2231.0,2264.0,33.0,3.333392031644234,False,True
s8_n400,9,1,0.75,0.25,7,155,1926.6215556025504,1956.6215556025504,30.0,7.922270760947424,False,False
s8_n400,9,1,0.75,0.25,7,338,2891.0,2914.0,23.0,9.702848906425384,True,False
s8_n400,9,1,0.75,0.25,7,306,3039.0,3055.0,16.0,6.307375877284279,True,False
s8_n400,9,1,0.75,0.25,7,332,3066.024320983887,3096.024320983887,30.0,9.10685454482287,True,False
s8_n400,9,1,0.75,0.25,1,150,2375.0,2409.0,34.0,8.479837623718375,False,False
s8_n400,9,1,0.75,0.25,1,343,3245.0,3273.0,28.0,8.37656943904345,True,False
s8_n400,9,1,0.75,0.25,4,307,3169.0,3186.0,17.0,7.493005822704397,True,False
s8_n400,9,2,0.5,0.5,6,46,73.0,118.0,45.0,7.206099624076302,False,True
s8_n400,9,2,0.5,0.5,6,49,249.0,265.0,16.0,1.8785918722133936,False,True
s8_n400,9,2,0.5,0.5,2,36,81.0,99.0,18.0,2.1450106090126884,False,True
s8_n400,9,2,0.5,0.5,2,239,158.0,192.0,34.0,6.46133264175788,False,True
s8_n400,9,2,0.5,0.5,2,76,198.86559467315675,256.86559467315675,58.0,5.7551639012094435,False,True
s8_n400,9,2,0.5,0.5,0,255,161.0,195.0,34.0,5.229878542798582,False,True
s8_n400,9,2,0.5,0.5,5,235,330.0,372.0,42.0,8.733156516788577,False,True
s8_n400,9,2,0.5,0.5,2,178,265.9354684829712,314.9354684829712,49.0,6.417029896171362,False,True
s8_n400,9,2,0.5,0.5,3,207,189.0,207.0,18.0,6.102634737950009,False,True
s8_n400,9,2,0.5,0.5,0,60,338.0,353.0,15.0,1.4445812616133877,False,True
s8_n400,9,2,0.5,0.5,3,256,228.0,286.0,58.0,6.269520568490604,False,True
s8_n400,9,2,0.5,0.5,1,274,33.0,84.0,51.0,9.226802889777801,False,True
s8_n400,9,2,0.5,0.5,3,80,293.4589780807495,318.4589780807495,25.0,7.9700800430536685,False,True
s8_n400,9,2,0.5,0.5,1,166,132.0,183.0,51.0,7.45615577079997,False,True
s8_n400,9,2,0.5,0.5,2,79,325.3184854507446,377.3184854507446,52.0,7.696915507067875,False,True
s8_n400,9,2,0.5,0.5,7,159,22.0,44.0,22.0,6.308681465319681,False,True
