scale,instance_idx,seed,method,satellites,tasks,hv,igd,igd_norm,coverage,seconds,points,nd_points,avg_scheduled,reference_hv
s20_n800,9,20260701,SPEA2,20,800,0.0960820296399528,0.17019764702709478,0.3812545217851758,0.0,221.956041097641,31,31,,0.15006137111655765
s3_n100,0,20260701,IBEA,3,100,0.19484744275374016,0.005453724990732091,0.016546463675911914,0.38095238095238093,34.59459471702576,16,16,,0.18685861975121698
s3_n100,0,20260701,MOEA/D,3,100,0.18685861975121698,0.02356232942266722,0.07148751148519103,0.09523809523809523,15.200063705444336,10,10,,0.18685861975121698
s3_n100,0,20260701,MONP,3,100,0.2011292558739079,0.04963156715431876,0.15058091937035487,0.0,2.64340877532959,50,5,23.5,0.18685861975121698
s3_n100,0,20260701,NSGA-II,3,100,0.2290388046552693,0.013541524198480865,0.04108464190024516,0.2857142857142857,22.63608407974243,16,16,,0.18685861975121698
s3_n100,0,20260701,KDPCS,3,100,0.2612428391582744,0.017457749781442163,0.05296637126233527,0.23809523809523808,0.1679997444152832,50,10,25.82,0.18685861975121698
s3_n100,0,20260701,SPEA2,3,100,0.22962593495487685,0.03930854396911257,0.11926112813594539,0.0,26.579859733581543,13,13,,0.18685861975121698
s3_n100,1,20260701,IBEA,3,100,0.22605611558954186,0.033983401591328656,0.08360373233769018,0.0,37.90717029571533,14,14,,0.18550049634275353
s3_n100,1,20260701,MOEA/D,3,100,0.19932295976257938,0.0186417593188628,0.04586123176072891,0.2857142857142857,20.004366397857666,11,11,,0.18550049634275353
s3_n100,1,20260701,MONP,3,100,0.20086263387997788,0.029929044166132096,0.07362946851755658,0.07142857142857142,3.0667428970336914,50,11,24.34,0.18550049634275353
s3_n100,1,20260701,NSGA-II,3,100,0.2029378290983494,0.02672681883309672,0.06575156409681807,0.0,25.526729345321655,17,17,,0.18550049634275353
s3_n100,1,20260701,KDPCS,3,100,0.18550049634275353,0.004663013750706871,0.011471640131532347,0.6428571428571429,0.11541461944580078,50,9,25.96,0.18550049634275353
s3_n100,1,20260701,SPEA2,3,100,0.20883445752284951,0.052251341223117094,0.1285453174592581,0.0,28.658531665802002,22,22,,0.18550049634275353
s3_n100,2,20260701,IBEA,3,100,0.21329585709459248,0.00865417672693786,0.014963123032085858,0.26666666666666666,46.33370065689087,22,22,,0.20567282712304957
s3_n100,2,20260701,MOEA/D,3,100,0.20614708971782664,0.11264496561611104,0.1947638155126218,0.23333333333333334,8.020067691802979,10,10,,0.20567282712304957
s3_n100,2,20260701,MONP,3,100,0.20567282712304957,0.05356171547058722,0.09260852461000682,0.03333333333333333,3.3062705993652344,50,7,22.68,0.20567282712304957
s3_n100,2,20260701,NSGA-II,3,100,0.21073911256288555,0.006440106945286783,0.011134983211304681,0.43333333333333335,24.98261594772339,23,23,,0.20567282712304957
s3_n100,2,20260701,KDPCS,3,100,0.1978961258007984,0.029810683493476608,0.051542849060963535,0.03333333333333333,0.10600018501281738,50,7,23.34,0.20567282712304957
s3_n100,2,20260701,SPEA2,3,100,0.21198318295736213,0.02720502652383614,0.04703765266316154,0.0,32.38274884223938,13,13,,0.20567282712304957
s3_n100,3,20260701,IBEA,3,100,0.17895278525259384,0.015389780148883002,0.022556412159678282,0.2222222222222222,45.275774002075195,23,23,,0.14039330318265417
s3_n100,3,20260701,MOEA/D,3,100,0.16277004944793674,0.03897222308666425,0.05712060329760668,0.18518518518518517,18.829983711242676,14,14,,0.14039330318265417
s3_n100,3,20260701,MONP,3,100,0.14039330318265417,0.07442423176352699,0.1090817172230611,0.037037037037037035,2.3348305225372314,50,6,18.64,0.14039330318265417
s3_n100,3,20260701,NSGA-II,3,100,0.1525001409611788,0.005961571132012751,0.008737724273642692,0.4444444444444444,27.616362810134888,23,23,,0.14039330318265417
s3_n100,3,20260701,KDPCS,3,100,0.19289492529301314,0.05624767597792724,0.08244079838101186,0.037037037037037035,0.10403633117675781,50,8,21.28,0.14039330318265417
s3_n100,3,20260701,SPEA2,3,100,0.1600619573203093,0.023284123975395477,0.034126952567557434,0.07407407407407407,36.94078803062439,21,21,,0.14039330318265417
s3_n100,4,20260701,IBEA,3,100,0.15144599578480739,0.04338203619775494,0.11704892161214418,0.0,42.0395290851593,26,26,,0.21068966412669926
s3_n100,4,20260701,MOEA/D,3,100,0.1514459957848074,0.055034061553719656,0.1484872108684611,0.0,14.951146602630615,15,15,,0.21068966412669926
s3_n100,4,20260701,MONP,3,100,0.19512600352680784,0.031231959071121633,0.08426684059838102,0.25,2.9048573970794678,50,10,21.86,0.21068966412669926
s3_n100,4,20260701,NSGA-II,3,100,0.1514459957848074,0.040587272929816814,0.10950838051854012,0.0,25.38992929458618,15,15,,0.21068966412669926
s3_n100,4,20260701,KDPCS,3,100,0.21068966412669926,0.008323383947282891,0.02245729340025105,0.75,0.11100077629089355,50,6,24.42,0.21068966412669926
s3_n100,4,20260701,SPEA2,3,100,0.15144599578480736,0.06132923683603097,0.165472201494422,0.0,28.53404998779297,26,26,,0.21068966412669926
s3_n100,5,20260701,IBEA,3,100,0.22566724389385556,0.016379518711297964,0.041463157307956126,0.34782608695652173,48.77837419509888,12,12,,0.20939485580813416
s3_n100,5,20260701,MOEA/D,3,100,0.22733733273650641,0.020171604354178908,0.05106245300811379,0.2608695652173913,17.533377170562744,11,11,,0.20939485580813416
s3_n100,5,20260701,MONP,3,100,0.22232575116080705,0.037850002354440276,0.09581359680893238,0.0,3.0036373138427734,50,9,21.76,0.20939485580813416
