num_prefs,scale,instance_idx,seed,front_type,point_idx,f1,f2
50,s3_n100,0,20260701,all,43,0.29149770395687175,0.9043049840414025
50,s3_n100,0,20260701,all,44,0.29149770395687175,0.9043049840414025
50,s3_n100,0,20260701,all,45,0.28686253726098915,0.8773949803852711
50,s3_n100,0,20260701,all,46,0.29084574391442397,0.8773949803852711
50,s3_n100,0,20260701,all,47,0.29084574391442397,0.8773949803852711
50,s3_n100,0,20260701,all,48,0.2890392289999465,0.7795431326397908
50,s3_n100,0,20260701,all,49,0.25082709711968604,0.7081626506529234
50,s3_n100,0,20260701,nd,0,0.2755834062820288,0.9479628787624519
50,s3_n100,0,20260701,nd,1,0.30137462672500415,0.9043049840414027
50,s3_n100,0,20260701,nd,2,0.3109136374618391,0.8872033867994895
50,s3_n100,0,20260701,nd,3,0.3173715520337335,0.8542420636698618
50,s3_n100,0,20260701,nd,4,0.3271437143949846,0.8372712678552182
50,s3_n100,0,20260701,nd,5,0.33376844862329635,0.8132159602897522
50,s3_n100,0,20260701,nd,6,0.3392020540973991,0.7938956641484112
50,s3_n100,0,20260701,nd,7,0.3411557598332706,0.7491510907305889
100,s3_n100,0,20260701,all,0,0.3406098534066261,0.6548914512365673
100,s3_n100,0,20260701,all,1,0.3406098534066261,0.6548914512365673
100,s3_n100,0,20260701,all,2,0.33734510177737315,0.6548914512365673
100,s3_n100,0,20260701,all,3,0.33734510177737315,0.6548914512365673
100,s3_n100,0,20260701,all,4,0.3395676912207148,0.6548914512365673
100,s3_n100,0,20260701,all,5,0.3395676912207148,0.6548914512365673
100,s3_n100,0,20260701,all,6,0.3395676912207148,0.6548914512365673
100,s3_n100,0,20260701,all,7,0.3395676912207148,0.6548914512365673
100,s3_n100,0,20260701,all,8,0.3395676912207148,0.6548914512365673
100,s3_n100,0,20260701,all,9,0.34115575983327073,0.7491510907305889
100,s3_n100,0,20260701,all,10,0.3411557598332706,0.7491510907305889
100,s3_n100,0,20260701,all,11,0.34115575983327073,0.7491510907305889
100,s3_n100,0,20260701,all,12,0.3392020540973991,0.7938956641484112
100,s3_n100,0,20260701,all,13,0.3392020540973991,0.7938956641484112
100,s3_n100,0,20260701,all,14,0.339202054097399,0.7938956641484113
100,s3_n100,0,20260701,all,15,0.3392020540973991,0.7938956641484113
100,s3_n100,0,20260701,all,16,0.3392020540973991,0.7938956641484113
