num_prefs,scale,scale_group,instance_idx,seed,satellites,tasks,hv,normalized_hv,igd_to_k200,nd_points,seconds,seconds_per_pref,avg_scheduled
50,s5_n200,small,1,20260702,5,200,0.2522892624485825,98.11855412952661,0.009680003302272438,8,0.22870421409606934,0.004574084281921386,40.24
100,s5_n200,small,1,20260702,5,200,0.2554950601891848,99.3653302946585,0.006869711801355376,8,1.1904613971710205,0.011904613971710205,40.34
150,s5_n200,small,1,20260702,5,200,0.25712696715397443,100.0,0.0,9,1.8365421295166016,0.012243614196777344,40.34
200,s5_n200,small,1,20260702,5,200,0.25712696715397443,100.0,0.0,9,2.4200642108917236,0.012100321054458619,40.33
20,s5_n200,small,2,20260703,5,200,0.262710021081487,97.2902482843226,0.015012691784813645,11,0.10700082778930664,0.005350041389465332,38.05
50,s5_n200,small,2,20260703,5,200,0.26819375732023765,99.32105798848804,0.005098860057196217,16,0.2884969711303711,0.005769939422607422,38.02
100,s5_n200,small,2,20260703,5,200,0.26893361546812294,99.59505203944435,0.0020079219425782405,21,1.1953747272491455,0.011953747272491455,38.04
150,s5_n200,small,2,20260703,5,200,0.2692629626279736,99.71702023396432,0.0012685716744433165,20,1.7556078433990479,0.011704052289326985,38.0
200,s5_n200,small,2,20260703,5,200,0.27002708464032177,100.0,0.0,16,2.400607109069824,0.01200303554534912,38.025
20,s5_n200,small,3,20260704,5,200,0.26875714318738886,99.20995196502368,0.012050705739253943,10,0.11500740051269531,0.0057503700256347655,40.75
50,s5_n200,small,3,20260704,5,200,0.26993040141278357,99.6430526104745,0.003538039546808206,14,0.23100018501281738,0.004620003700256348,40.82
100,s5_n200,small,3,20260704,5,200,0.27034470316575665,99.79598940881971,0.002300411746575485,15,1.1896328926086426,0.011896328926086426,40.82
150,s5_n200,small,3,20260704,5,200,0.27089736247643664,100.0,0.0,16,1.8211724758148193,0.012141149838765462,40.81333333333333
200,s5_n200,small,3,20260704,5,200,0.27089736247643664,100.0,0.0,16,2.4186367988586426,0.012093183994293212,40.815
20,s5_n200,small,4,20260705,5,200,0.26946249567044284,99.25290664973976,0.013667813630381382,7,0.11292457580566406,0.005646228790283203,40.7
50,s5_n200,small,4,20260705,5,200,0.2708529520127776,99.76506264830616,0.005806049483462251,10,0.3475677967071533,0.006951355934143066,40.74
100,s5_n200,small,4,20260705,5,200,0.2714348852225884,99.97940996371281,0.00026252659310964756,12,1.2397587299346924,0.012397587299346924,40.71
150,s5_n200,small,4,20260705,5,200,0.2714539430089194,99.98642964444038,0.00014124229718943317,11,1.8551599979400635,0.012367733319600423,40.72
200,s5_n200,small,4,20260705,5,200,0.27149078527379267,100.0,0.0,11,2.4487316608428955,0.012243658304214478,40.68
20,s5_n200,small,5,20260706,5,200,0.2706507390295939,96.12055749384284,0.020891472892196665,12,0.12200069427490234,0.0061000347137451175,42.8
50,s5_n200,small,5,20260706,5,200,0.27347664547175965,97.12416717774883,0.00902207104761751,15,0.24700045585632324,0.004940009117126465,42.82
100,s5_n200,small,5,20260706,5,200,0.28135967015476565,99.92379273940455,0.0010456064554744953,20,1.256181240081787,0.01256181240081787,42.7
150,s5_n200,small,5,20260706,5,200,0.2818864012564897,100.11085924189625,0.0020651424667322295,19,1.8640570640563965,0.01242704709370931,42.76
200,s5_n200,small,5,20260706,5,200,0.28157425017736804,100.0,0.0,20,2.552077531814575,0.012760387659072876,42.76
20,s5_n200,small,6,20260707,5,200,0.26846807829284053,98.8358238364169,0.00852891232806568,7,0.11107277870178223,0.005553638935089112,39.75
50,s5_n200,small,6,20260707,5,200,0.27062921256477124,99.63143979026003,0.006558140436934372,8,0.3169999122619629,0.006339998245239258,39.48
100,s5_n200,small,6,20260707,5,200,0.27152113941826456,99.95980033847641,0.0003802744606047949,12,1.2097094058990479,0.012097094058990478,39.41
150,s5_n200,small,6,20260707,5,200,0.2715249720387426,99.96121130772387,0.00038027446060479725,13,1.8149988651275635,0.012099992434183757,39.473333333333336
200,s5_n200,small,6,20260707,5,200,0.271630333893085,100.0,0.0,12,2.4056665897369385,0.012028332948684693,39.455
20,s5_n200,small,7,20260708,5,200,0.24994633203786856,97.542143220306,0.018352326089276942,10,0.10387873649597168,0.005193936824798584,36.75
50,s5_n200,small,7,20260708,5,200,0.25553474087593053,99.72303289694776,0.01056509778273376,12,0.21163725852966309,0.004232745170593261,36.6
100,s5_n200,small,7,20260708,5,200,0.25632125176052767,100.02997061723438,0.00010484826013129056,16,1.1605877876281738,0.011605877876281739,36.65
150,s5_n200,small,7,20260708,5,200,0.25639472872520497,100.05864517530254,0.00902102401362096,14,1.7539422512054443,0.011692948341369629,36.64666666666667
200,s5_n200,small,7,20260708,5,200,0.2562444537161201,100.0,0.0,15,2.3663644790649414,0.011831822395324708,36.65
20,s5_n200,small,8,20260709,5,200,0.2574549031092488,96.90575407026067,0.02036997030043504,10,0.1099998950958252,0.00549999475479126,38.0
50,s5_n200,small,8,20260709,5,200,0.2617321906584106,98.51572059379964,0.011315752844652041,13,0.21896696090698242,0.004379339218139648,38.02
100,s5_n200,small,8,20260709,5,200,0.26350182360808383,99.18180857015835,0.004659967577610885,16,1.2075884342193604,0.012075884342193604,37.99
150,s5_n200,small,8,20260709,5,200,0.2654467581685436,99.91387988797933,0.00014142064072816663,18,1.78029203414917,0.011868613560994466,37.98
200,s5_n200,small,8,20260709,5,200,0.26567555825692596,100.0,0.0,18,2.386317253112793,0.011931586265563964,37.975
20,s5_n200,small,9,20260710,5,200,0.23845673701320735,97.64500981414477,0.02684440774828538,7,0.12318587303161621,0.006159293651580811,34.15
50,s5_n200,small,9,20260710,5,200,0.24239021761979623,99.25572024004835,0.007782932633338831,14,0.3190000057220459,0.006380000114440918,34.08
100,s5_n200,small,9,20260710,5,200,0.24374629241685172,99.81101567235926,0.0016255686286508581,17,1.1339519023895264,0.011339519023895264,34.09
150,s5_n200,small,9,20260710,5,200,0.24366697439086282,99.77853594658956,0.003130666038980898,18,1.724421501159668,0.011496143341064453,34.04666666666667
200,s5_n200,small,9,20260710,5,200,0.24420780689876556,100.0,0.0,19,2.3374509811401367,0.011687254905700684,34.07
20,s8_n200,medium,0,20260701,8,200,0.38461302644696665,98.30560155594637,0.00994411560290311,13,0.18599987030029297,0.009299993515014648,60.2
50,s8_n200,medium,0,20260701,8,200,0.38931219011530566,99.50668960929032,0.00511508186951402,20,0.4090874195098877,0.008181748390197753,60.24
100,s8_n200,medium,0,20260701,8,200,0.39101171481698266,99.94108154786025,0.001210858969943526,20,1.8704948425292969,0.01870494842529297,60.4
150,s8_n200,medium,0,20260701,8,200,0.3907605449248349,99.87688349516188,0.0011952143786871608,21,2.7419631481170654,0.018279754320780436,60.333333333333336
200,s8_n200,medium,0,20260701,8,200,0.3912422286822393,100.0,0.0,22,3.656573534011841,0.018282867670059204,60.36
20,s8_n200,medium,1,20260702,8,200,0.4300899134852135,98.48277599116523,0.01673350194158597,11,0.1923384666442871,0.009616923332214356,61.25
50,s8_n200,medium,1,20260702,8,200,0.43474849094920587,99.54950558988115,0.0065762301847630935,21,0.4090867042541504,0.008181734085083008,61.24
100,s8_n200,medium,1,20260702,8,200,0.43589353774518924,99.81170050209015,0.002724490774421906,21,1.8784353733062744,0.018784353733062743,61.25
150,s8_n200,medium,1,20260702,8,200,0.4364997626681397,99.95051499509556,0.0014124517703419201,25,2.788831949234009,0.01859221299489339,61.29333333333334
200,s8_n200,medium,1,20260702,8,200,0.43671587153858904,100.0,0.0,23,3.732628107070923,0.018663140535354613,61.275
20,s8_n200,medium,2,20260703,8,200,0.3760468869021044,98.82895085243061,0.010497337415423384,13,0.1809999942779541,0.009049999713897704,57.6
50,s8_n200,medium,2,20260703,8,200,0.37962422816891783,99.76911256245776,0.004039273589183619,17,0.386000394821167,0.00772000789642334,57.48
100,s8_n200,medium,2,20260703,8,200,0.3801631571827721,99.91074859476727,0.0027195452222896293,18,1.8282089233398438,0.018282089233398437,57.41
150,s8_n200,medium,2,20260703,8,200,0.38050314226310056,100.00010013566458,0.0017041464495735435,18,2.6631340980529785,0.01775422732035319,57.46
200,s8_n200,medium,2,20260703,8,200,0.38050276124413185,100.0,0.0,21,3.5784037113189697,0.01789201855659485,57.43
20,s8_n200,medium,3,20260704,8,200,0.38601757605261255,96.42422165646265,0.011409174817405686,12,0.18499994277954102,0.009249997138977051,60.05
50,s8_n200,medium,3,20260704,8,200,0.39766795847055797,99.33439758196872,0.007767271422376911,15,0.4870774745941162,0.009741549491882323,60.12
