num_prefs,scale,scale_group,instance_idx,seed,satellites,tasks,hv,nd_points,seconds,seconds_per_pref,avg_scheduled
150,s8_n200,medium,3,20260704,8,200,0.4028197882158636,20,1.2976019382476807,0.008650679588317872,60.2
200,s8_n200,medium,3,20260704,8,200,0.4003325818152876,22,1.6656785011291504,0.008328392505645751,60.225
20,s8_n200,medium,4,20260705,8,200,0.3813132552142412,14,0.18500137329101562,0.009250068664550781,58.85
50,s8_n200,medium,4,20260705,8,200,0.3865803931609486,21,0.3940005302429199,0.0078800106048584,59.2
100,s8_n200,medium,4,20260705,8,200,0.3867227266471418,23,0.8397665023803711,0.008397665023803711,59.06
150,s8_n200,medium,4,20260705,8,200,0.38839447812806105,23,1.285053014755249,0.008567020098368327,59.0
200,s8_n200,medium,4,20260705,8,200,0.38914952222205806,22,1.715486764907837,0.008577433824539184,59.005
20,s8_n200,medium,5,20260706,8,200,0.35077932033534265,8,0.18600058555603027,0.009300029277801514,58.95
50,s8_n200,medium,5,20260706,8,200,0.357838167316877,16,0.3979504108428955,0.00795900821685791,58.94
100,s8_n200,medium,5,20260706,8,200,0.358888772499058,16,0.7743487358093262,0.007743487358093262,58.97
150,s8_n200,medium,5,20260706,8,200,0.35929667743992694,17,1.2770235538482666,0.008513490358988443,59.04666666666667
200,s8_n200,medium,5,20260706,8,200,0.35857778598206125,16,1.6976573467254639,0.00848828673362732,59.02
20,s8_n200,medium,6,20260707,8,200,0.39557210052294334,13,0.1810011863708496,0.00905005931854248,58.05
50,s8_n200,medium,6,20260707,8,200,0.3969616271523159,19,0.39261364936828613,0.007852272987365723,57.84
100,s8_n200,medium,6,20260707,8,200,0.3986545892292587,19,0.7649383544921875,0.007649383544921875,57.77
150,s8_n200,medium,6,20260707,8,200,0.3976621695084029,20,1.2570462226867676,0.008380308151245117,57.74666666666667
200,s8_n200,medium,6,20260707,8,200,0.3989045949440475,20,1.6798343658447266,0.008399171829223633,57.76
20,s8_n200,medium,7,20260708,8,200,0.3824897410558399,10,0.17751812934875488,0.008875906467437744,55.35
50,s8_n200,medium,7,20260708,8,200,0.39361811317010553,15,0.37600016593933105,0.007520003318786621,55.12
100,s8_n200,medium,7,20260708,8,200,0.39362381357447945,17,0.7835531234741211,0.00783553123474121,55.17
150,s8_n200,medium,7,20260708,8,200,0.39393295235985315,19,1.205918788909912,0.008039458592732748,55.18666666666667
200,s8_n200,medium,7,20260708,8,200,0.3940105548070605,20,1.6114037036895752,0.008057018518447876,55.19
20,s8_n200,medium,8,20260709,8,200,0.41234155361729774,8,0.18863844871520996,0.009431922435760498,60.8
50,s8_n200,medium,8,20260709,8,200,0.4134313441853181,13,0.40760016441345215,0.008152003288269044,60.56
100,s8_n200,medium,8,20260709,8,200,0.4171902983285026,20,0.8460640907287598,0.008460640907287598,60.61
150,s8_n200,medium,8,20260709,8,200,0.4172829636121863,20,1.2987470626831055,0.008658313751220703,60.56
200,s8_n200,medium,8,20260709,8,200,0.4172115444141581,21,1.7769231796264648,0.008884615898132324,60.555
20,s8_n200,medium,9,20260710,8,200,0.41111870215052365,12,0.19155359268188477,0.009577679634094238,59.75
