inst_idx,scale,instance_idx,seed,file,method,front_type,point_idx,f1,f2
,s3_n200,0,20260701,,KDPCS,all,26,0.15262537628651002,0.9343398086804385
,s3_n200,0,20260701,,KDPCS,all,27,0.14077473156344647,0.9475794925885271
,s3_n200,0,20260701,,KDPCS,all,28,0.14077473156344647,0.9475794925885271
,s3_n200,0,20260701,,KDPCS,all,29,0.14077473156344647,0.9475794925885271
,s3_n200,0,20260701,,KDPCS,all,30,0.1160992132395866,0.9431510067784198
,s3_n200,0,20260701,,KDPCS,all,31,0.1160992132395866,0.9431510067784198
,s3_n200,0,20260701,,KDPCS,all,32,0.1160992132395866,0.9431510067784198
,s3_n200,0,20260701,,KDPCS,all,33,0.12081666859371436,0.9867603160919114
,s3_n200,0,20260701,,KDPCS,all,34,0.1068253635098481,1.0
,s3_n200,0,20260701,,KDPCS,all,35,0.1068253635098481,1.0
,s3_n200,0,20260701,,KDPCS,all,36,0.1068253635098481,1.0
,s3_n200,0,20260701,,KDPCS,all,37,0.1068253635098481,1.0
,s3_n200,0,20260701,,KDPCS,all,38,0.1068253635098481,1.0
,s3_n200,0,20260701,,KDPCS,all,39,0.10682536350984809,0.9999999999999999
,s3_n200,0,20260701,,KDPCS,all,40,0.10682536350984809,0.9999999999999999
,s3_n200,0,20260701,,KDPCS,all,41,0.10682536350984809,0.9999999999999999
,s3_n200,0,20260701,,KDPCS,all,42,0.10682536350984809,0.9999999999999999
,s3_n200,0,20260701,,KDPCS,all,43,0.10682536350984809,0.9999999999999999
,s3_n200,0,20260701,,KDPCS,all,44,0.10682536350984809,0.9999999999999999
,s3_n200,0,20260701,,KDPCS,all,45,0.10682536350984809,0.9999999999999999
,s3_n200,0,20260701,,KDPCS,all,46,0.10682536350984809,0.9999999999999999
,s3_n200,0,20260701,,KDPCS,all,47,0.10542879826918622,1.0
,s3_n200,0,20260701,,KDPCS,all,48,0.10542879826918622,1.0
,s3_n200,0,20260701,,KDPCS,all,49,0.10542879826918622,1.0
,s3_n200,0,20260701,,KDPCS,nd,0,0.1068253635098481,1.0
,s3_n200,0,20260701,,KDPCS,nd,1,0.12081666859371436,0.9867603160919114
,s3_n200,0,20260701,,KDPCS,nd,2,0.14077473156344647,0.9475794925885271
,s3_n200,0,20260701,,KDPCS,nd,3,0.15262537628651002,0.9343398086804385
,s3_n200,0,20260701,,KDPCS,nd,4,0.1546711860183376,0.8805971407695278
,s3_n200,0,20260701,,KDPCS,nd,5,0.1731351722208457,0.8547628085491378
,s3_n200,0,20260701,,KDPCS,nd,6,0.18045458970962383,0.8178045267263004
,s3_n200,0,20260701,,KDPCS,nd,7,0.1883580572339293,0.8174569236978517
,s3_n200,0,20260701,,KDPCS,nd,8,0.19615716665305935,0.7606079304762716
,s3_n200,0,20260701,,KDPCS,nd,9,0.1991513356389373,0.6916849877144623
,s3_n200,0,20260701,,KDPCS,nd,10,0.20362822839734032,0.5986243990146936
,s3_n200,0,20260701,,KDPCS,nd,11,0.21161173413083487,0.3329670918222219
